TE_Type	TE_id	chromosome	TE_strand	start	end	before_id	before_feature	before_strand	before_start	before_end	after_id	after_feature	after_strand	after_start	after_end	superset_id	superset_feature	superset_strand	superset_start	superset_end	subset_id	subset_feature	subset_strand	subset_start	subset_end	upstream_overlap	downstream_overlap	Down_TEstart-Geneend	Down_Genestart-TEend	Down_Geneend-TEend	Down_Genestart-TEstart	Up_TEstart-Geneend	Up_Genestart-TEend	Up_Geneend-TEend	Up_Genestart-TEstart
LTR_retrotransposon	Mands_v1_LTR_retrotransposon13	chr1	+	4671218	4675791	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4495820	-4500442	-4500393	-4495869	4495820	-4500442	-4500393	-4495869
LTR_retrotransposon	Mands_v1_LTR_retrotransposon14	chr1	+	4791826	4799660	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4616428	-4624311	-4624262	-4616477	4616428	-4624311	-4624262	-4616477
LTR_retrotransposon	Mands_v1_LTR_retrotransposon15	chr1	-	5248489	5252901	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5073091	-5077552	-5077503	-5073140	5073091	-5077552	-5077503	-5073140
LTR_retrotransposon	Mands_v1_LTR_retrotransposon16	chr1	-	5343102	5348268	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5167704	-5172919	-5172870	-5167753	5167704	-5172919	-5172870	-5167753
LTR_retrotransposon	Mands_v1_LTR_retrotransposon18	chr1	-	5735299	5741256	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5559901	-5565907	-5565858	-5559950	5559901	-5565907	-5565858	-5559950
LTR_retrotransposon	Mands_v1_LTR_retrotransposon20	chr1	+	5943848	5949953	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5768450	-5774604	-5774555	-5768499	5768450	-5774604	-5774555	-5768499
LTR_retrotransposon	Mands_v1_LTR_retrotransposon21	chr1	+	6330332	6336932	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6154934	-6161583	-6161534	-6154983	6154934	-6161583	-6161534	-6154983
LTR_retrotransposon	Mands_v1_LTR_retrotransposon23	chr1	-	6525941	6550750	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6350543	-6375401	-6375352	-6350592	6350543	-6375401	-6375352	-6350592
LTR_retrotransposon	Mands_v1_LTR_retrotransposon24	chr1	-	6674569	6689785	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6499171	-6514436	-6514387	-6499220	6499171	-6514436	-6514387	-6499220
LTR_retrotransposon	Mands_v1_LTR_retrotransposon25	chr1	-	6853708	6868495	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6678310	-6693146	-6693097	-6678359	6678310	-6693146	-6693097	-6678359
LTR_retrotransposon	Mands_v1_LTR_retrotransposon27	chr1	-	7859581	7864511	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7684183	-7689162	-7689113	-7684232	7684183	-7689162	-7689113	-7684232
LTR_retrotransposon	Mands_v1_LTR_retrotransposon28	chr1	-	8931130	8936197	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8755732	-8760848	-8760799	-8755781	8755732	-8760848	-8760799	-8755781
LTR_retrotransposon	Mands_v1_LTR_retrotransposon29	chr1	-	9077693	9084523	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8902295	-8909174	-8909125	-8902344	8902295	-8909174	-8909125	-8902344
LTR_retrotransposon	Mands_v1_LTR_retrotransposon31	chr1	+	9102252	9111607	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8926854	-8936258	-8936209	-8926903	8926854	-8936258	-8936209	-8926903
LTR_retrotransposon	Mands_v1_LTR_retrotransposon32	chr1	+	9259981	9266671	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9084583	-9091322	-9091273	-9084632	9084583	-9091322	-9091273	-9084632
LTR_retrotransposon	Mands_v1_LTR_retrotransposon33	chr1	-	9270021	9284037	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9094623	-9108688	-9108639	-9094672	9094623	-9108688	-9108639	-9094672
LTR_retrotransposon	Mands_v1_LTR_retrotransposon34	chr1	-	9336827	9341432	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9161429	-9166083	-9166034	-9161478	9161429	-9166083	-9166034	-9161478
LTR_retrotransposon	Mands_v1_LTR_retrotransposon35	chr1	-	9379789	9384701	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9204391	-9209352	-9209303	-9204440	9204391	-9209352	-9209303	-9204440
LTR_retrotransposon	Mands_v1_LTR_retrotransposon36	chr1	+	10002853	10008473	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9827455	-9833124	-9833075	-9827504	9827455	-9833124	-9833075	-9827504
LTR_retrotransposon	Mands_v1_LTR_retrotransposon37	chr1	+	10398478	10405284	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10223080	-10229935	-10229886	-10223129	10223080	-10229935	-10229886	-10223129
LTR_retrotransposon	Mands_v1_LTR_retrotransposon38	chr1	-	10467084	10472786	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10291686	-10297437	-10297388	-10291735	10291686	-10297437	-10297388	-10291735
LTR_retrotransposon	Mands_v1_LTR_retrotransposon39	chr1	-	10782961	10791607	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10607563	-10616258	-10616209	-10607612	10607563	-10616258	-10616209	-10607612
LTR_retrotransposon	Mands_v1_LTR_retrotransposon40	chr1	+	10926060	10933005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10750662	-10757656	-10757607	-10750711	10750662	-10757656	-10757607	-10750711
LTR_retrotransposon	Mands_v1_LTR_retrotransposon42	chr1	+	11084563	11091448	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10909165	-10916099	-10916050	-10909214	10909165	-10916099	-10916050	-10909214
LTR_retrotransposon	Mands_v1_LTR_retrotransposon43	chr1	+	11169029	11175087	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10993631	-10999738	-10999689	-10993680	10993631	-10999738	-10999689	-10993680
LTR_retrotransposon	Mands_v1_LTR_retrotransposon44	chr1	+	11364268	11370812	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11188870	-11195463	-11195414	-11188919	11188870	-11195463	-11195414	-11188919
LTR_retrotransposon	Mands_v1_LTR_retrotransposon45	chr1	+	11516970	11522540	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11341572	-11347191	-11347142	-11341621	11341572	-11347191	-11347142	-11341621
LTR_retrotransposon	Mands_v1_LTR_retrotransposon46	chr1	-	11524038	11529719	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11348640	-11354370	-11354321	-11348689	11348640	-11354370	-11354321	-11348689
LTR_retrotransposon	Mands_v1_LTR_retrotransposon47	chr1	+	11817654	11822947	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11642256	-11647598	-11647549	-11642305	11642256	-11647598	-11647549	-11642305
LTR_retrotransposon	Mands_v1_LTR_retrotransposon48	chr1	-	12082944	12097893	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	11907546	-11922544	-11922495	-11907595	11907546	-11922544	-11922495	-11907595
LTR_retrotransposon	Mands_v1_LTR_retrotransposon49	chr1	+	12433639	12441096	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	12258241	-12265747	-12265698	-12258290	12258241	-12265747	-12265698	-12258290
LTR_retrotransposon	Mands_v1_LTR_retrotransposon50	chr1	+	12707944	12714542	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	12532546	-12539193	-12539144	-12532595	12532546	-12539193	-12539144	-12532595
LTR_retrotransposon	Mands_v1_LTR_retrotransposon51	chr1	+	13118460	13123546	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	12943062	-12948197	-12948148	-12943111	12943062	-12948197	-12948148	-12943111
LTR_retrotransposon	Mands_v1_LTR_retrotransposon52	chr1	-	13206920	13214835	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13031522	-13039486	-13039437	-13031571	13031522	-13039486	-13039437	-13031571
LTR_retrotransposon	Mands_v1_LTR_retrotransposon53	chr1	+	13568382	13573861	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13392984	-13398512	-13398463	-13393033	13392984	-13398512	-13398463	-13393033
LTR_retrotransposon	Mands_v1_LTR_retrotransposon54	chr1	-	13647967	13672586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13472569	-13497237	-13497188	-13472618	13472569	-13497237	-13497188	-13472618
LTR_retrotransposon	Mands_v1_LTR_retrotransposon55	chr1	+	13688600	13694231	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13513202	-13518882	-13518833	-13513251	13513202	-13518882	-13518833	-13513251
LTR_retrotransposon	Mands_v1_LTR_retrotransposon56	chr1	-	13756033	13760470	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13580635	-13585121	-13585072	-13580684	13580635	-13585121	-13585072	-13580684
LTR_retrotransposon	Mands_v1_LTR_retrotransposon57	chr1	+	13797223	13802251	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13621825	-13626902	-13626853	-13621874	13621825	-13626902	-13626853	-13621874
LTR_retrotransposon	Mands_v1_LTR_retrotransposon58	chr1	-	13937333	13947786	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13761935	-13772437	-13772388	-13761984	13761935	-13772437	-13772388	-13761984
LTR_retrotransposon	Mands_v1_LTR_retrotransposon60	chr1	-	14008402	14017311	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13833004	-13841962	-13841913	-13833053	13833004	-13841962	-13841913	-13833053
LTR_retrotransposon	Mands_v1_LTR_retrotransposon61	chr1	-	14054546	14059541	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13879148	-13884192	-13884143	-13879197	13879148	-13884192	-13884143	-13879197
LTR_retrotransposon	Mands_v1_LTR_retrotransposon62	chr1	-	14420324	14427663	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14244926	-14252314	-14252265	-14244975	14244926	-14252314	-14252265	-14244975
LTR_retrotransposon	Mands_v1_LTR_retrotransposon63	chr1	+	14484727	14502911	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14309329	-14327562	-14327513	-14309378	14309329	-14327562	-14327513	-14309378
LTR_retrotransposon	Mands_v1_LTR_retrotransposon64	chr1	-	14601591	14612314	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14426193	-14436965	-14436916	-14426242	14426193	-14436965	-14436916	-14426242
LTR_retrotransposon	Mands_v1_LTR_retrotransposon65	chr1	+	14645766	14654636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14470368	-14479287	-14479238	-14470417	14470368	-14479287	-14479238	-14470417
LTR_retrotransposon	Mands_v1_LTR_retrotransposon67	chr1	+	14754415	14761086	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14579017	-14585737	-14585688	-14579066	14579017	-14585737	-14585688	-14579066
LTR_retrotransposon	Mands_v1_LTR_retrotransposon68	chr1	-	14762498	14769460	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14587100	-14594111	-14594062	-14587149	14587100	-14594111	-14594062	-14587149
LTR_retrotransposon	Mands_v1_LTR_retrotransposon69	chr1	-	14784405	14792114	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14609007	-14616765	-14616716	-14609056	14609007	-14616765	-14616716	-14609056
LTR_retrotransposon	Mands_v1_LTR_retrotransposon70	chr1	-	15043643	15048319	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14868245	-14872970	-14872921	-14868294	14868245	-14872970	-14872921	-14868294
LTR_retrotransposon	Mands_v1_LTR_retrotransposon71	chr1	-	15082102	15089876	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14906704	-14914527	-14914478	-14906753	14906704	-14914527	-14914478	-14906753
LTR_retrotransposon	Mands_v1_LTR_retrotransposon72	chr1	+	15366639	15371332	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15191241	-15195983	-15195934	-15191290	15191241	-15195983	-15195934	-15191290
LTR_retrotransposon	Mands_v1_LTR_retrotransposon73	chr1	+	15386433	15399065	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15211035	-15223716	-15223667	-15211084	15211035	-15223716	-15223667	-15211084
LTR_retrotransposon	Mands_v1_LTR_retrotransposon74	chr1	-	15429575	15435952	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15254177	-15260603	-15260554	-15254226	15254177	-15260603	-15260554	-15254226
LTR_retrotransposon	Mands_v1_LTR_retrotransposon75	chr1	-	15758954	15765792	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15583556	-15590443	-15590394	-15583605	15583556	-15590443	-15590394	-15583605
LTR_retrotransposon	Mands_v1_LTR_retrotransposon76	chr1	-	15938875	15961787	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15763477	-15786438	-15786389	-15763526	15763477	-15786438	-15786389	-15763526
LTR_retrotransposon	Mands_v1_LTR_retrotransposon78	chr1	-	16217035	16222716	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16041637	-16047367	-16047318	-16041686	16041637	-16047367	-16047318	-16041686
LTR_retrotransposon	Mands_v1_LTR_retrotransposon79	chr1	-	16350354	16356013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16174956	-16180664	-16180615	-16175005	16174956	-16180664	-16180615	-16175005
LTR_retrotransposon	Mands_v1_LTR_retrotransposon80	chr1	+	16362377	16372668	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16186979	-16197319	-16197270	-16187028	16186979	-16197319	-16197270	-16187028
LTR_retrotransposon	Mands_v1_LTR_retrotransposon81	chr1	+	16396638	16411473	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16221240	-16236124	-16236075	-16221289	16221240	-16236124	-16236075	-16221289
LTR_retrotransposon	Mands_v1_LTR_retrotransposon82	chr1	+	16516968	16522026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16341570	-16346677	-16346628	-16341619	16341570	-16346677	-16346628	-16341619
LTR_retrotransposon	Mands_v1_LTR_retrotransposon83	chr1	+	16934582	16939040	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16759184	-16763691	-16763642	-16759233	16759184	-16763691	-16763642	-16759233
LTR_retrotransposon	Mands_v1_LTR_retrotransposon84	chr1	+	16978189	16982813	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16802791	-16807464	-16807415	-16802840	16802791	-16807464	-16807415	-16802840
LTR_retrotransposon	Mands_v1_LTR_retrotransposon85	chr1	+	17012705	17019014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16837307	-16843665	-16843616	-16837356	16837307	-16843665	-16843616	-16837356
LTR_retrotransposon	Mands_v1_LTR_retrotransposon86	chr1	+	17053617	17079099	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16878219	-16903750	-16903701	-16878268	16878219	-16903750	-16903701	-16878268
LTR_retrotransposon	Mands_v1_LTR_retrotransposon87	chr1	+	17148091	17153448	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16972693	-16978099	-16978050	-16972742	16972693	-16978099	-16978050	-16972742
LTR_retrotransposon	Mands_v1_LTR_retrotransposon88	chr1	-	17461744	17466218	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	17286346	-17290869	-17290820	-17286395	17286346	-17290869	-17290820	-17286395
LTR_retrotransposon	Mands_v1_LTR_retrotransposon89	chr1	+	17516136	17520336	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	17340738	-17344987	-17344938	-17340787	17340738	-17344987	-17344938	-17340787
LTR_retrotransposon	Mands_v1_LTR_retrotransposon90	chr1	+	18317205	18321794	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18141807	-18146445	-18146396	-18141856	18141807	-18146445	-18146396	-18141856
LTR_retrotransposon	Mands_v1_LTR_retrotransposon91	chr1	+	18476328	18498985	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18300930	-18323636	-18323587	-18300979	18300930	-18323636	-18323587	-18300979
LTR_retrotransposon	Mands_v1_LTR_retrotransposon92	chr1	+	18657633	18665922	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18482235	-18490573	-18490524	-18482284	18482235	-18490573	-18490524	-18482284
LTR_retrotransposon	Mands_v1_LTR_retrotransposon94	chr1	+	18990414	18999819	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18815016	-18824470	-18824421	-18815065	18815016	-18824470	-18824421	-18815065
LTR_retrotransposon	Mands_v1_LTR_retrotransposon95	chr1	-	19000527	19006470	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18825129	-18831121	-18831072	-18825178	18825129	-18831121	-18831072	-18825178
LTR_retrotransposon	Mands_v1_LTR_retrotransposon96	chr1	-	19134575	19142607	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18959177	-18967258	-18967209	-18959226	18959177	-18967258	-18967209	-18959226
LTR_retrotransposon	Mands_v1_LTR_retrotransposon97	chr1	+	19152470	19163024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18977072	-18987675	-18987626	-18977121	18977072	-18987675	-18987626	-18977121
